customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST00117,Female,0,No,Yes,56,No,DSL,Two year,76.23,4268.88,No
CUST00118,Female,0,No,Yes,15,Yes,DSL,Month-to-month,114.27,1714.05,Yes
CUST00119,Male,0,Yes,No,37,No,DSL,Two year,71.23,2635.51,No
CUST00120,Female,0,No,No,40,Yes,DSL,Month-to-month,31.27,1250.8,Yes
CUST00121,Male,0,Yes,Yes,6,Yes,DSL,Month-to-month,82.78,496.68,No
CUST00122,Female,0,Yes,Yes,52,No,No,Month-to-month,93.28,4850.56,Yes
CUST00123,Male,1,Yes,No,62,No,DSL,Two year,59.33,3678.46,Yes
CUST00124,Male,0,No,Yes,31,Yes,DSL,Two year,92.15,2856.65,No
CUST00125,Female,0,Yes,No,37,Yes,Fiber optic,One year,52.48,1941.76,No
CUST00126,Female,0,No,Yes,21,Yes,Fiber optic,One year,98.91,2077.11,No
CUST00127,Male,0,Yes,Yes,15,Yes,No,Month-to-month,54.11,811.65,Yes
CUST00128,Female,0,No,Yes,51,No,No,Two year,45.61,2326.11,Yes
CUST00129,Female,0,No,No,28,No,Fiber optic,One year,107.92,3021.76,No
CUST00130,Female,0,Yes,Yes,15,Yes,Fiber optic,One year,74.85,1122.75,No
CUST00131,Male,0,No,No,16,Yes,DSL,One year,48.52,776.32,Yes
CUST00132,Male,0,Yes,Yes,63,No,DSL,Two year,113.51,7151.13,No
CUST00133,Male,0,Yes,No,12,Yes,No,One year,89.09,1069.08,Yes
CUST00134,Male,1,Yes,No,71,No,Fiber optic,Month-to-month,42.07,2986.97,No
CUST00135,Male,0,Yes,Yes,55,Yes,No,Two year,81.46,4480.299999999999,Yes
CUST00136,Male,0,Yes,No,4,No,DSL,One year,107.04,428.16,Yes
CUST00137,Male,0,No,No,11,Yes,No,One year,89.62,985.82,Yes
CUST00138,Male,1,Yes,No,40,Yes,No,Two year,44.48,1779.1999999999998,Yes
CUST00139,Male,1,No,No,2,Yes,No,One year,84.88,169.76,No
CUST00140,Female,0,No,Yes,32,No,DSL,One year,81.92,2621.44,No
CUST00141,Male,0,Yes,Yes,49,No,No,Month-to-month,102.08,5001.92,Yes
CUST00142,Female,0,No,Yes,55,Yes,DSL,Two year,37.81,2079.55,Yes
CUST00143,Female,0,Yes,No,8,Yes,Fiber optic,One year,89.96,719.68,Yes
CUST00144,Female,0,No,No,49,Yes,No,Two year,22.74,1114.26,No
CUST00145,Male,0,No,Yes,28,Yes,No,Two year,89.62,,No
CUST00146,Male,0,No,Yes,38,No,DSL,Month-to-month,116.04,4409.52,No
CUST00147,Male,0,Yes,No,44,No,No,Month-to-month,37.44,1647.36,No
CUST00148,Male,0,No,Yes,16,No,DSL,Two year,51.13,818.08,Yes
CUST00149,Female,0,Yes,Yes,55,Yes,No,Month-to-month,78.29,4305.950000000001,Yes
CUST00150,Male,0,No,No,45,Yes,Fiber optic,Month-to-month,93.24,4195.8,No
CUST00151,Male,0,No,Yes,66,No,Fiber optic,One year,54.44,3593.04,No
CUST00152,Male,0,No,No,68,Yes,Fiber optic,Month-to-month,86.43,5877.240000000001,No
CUST00153,Male,0,No,Yes,13,No,No,Month-to-month,109.93,1429.0900000000001,No
CUST00154,Male,0,Yes,No,66,No,No,One year,92.66,6115.5599999999995,No
CUST00155,Female,1,Yes,No,22,No,Fiber optic,One year,91.1,2004.1999999999998,No
CUST00156,Male,0,No,No,60,No,Fiber optic,Two year,58.2,3492.0,Yes
CUST00157,Female,0,No,No,22,Yes,DSL,Month-to-month,111.14,2445.08,Yes
CUST00158,Male,0,Yes,No,26,No,DSL,One year,47.73,1240.98,No
CUST00159,Female,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,40.53,2148.09,Yes
CUST00160,Male,0,Yes,Yes,9,No,Fiber optic,Two year,56.42,507.78000000000003,No
CUST00161,Male,0,Yes,Yes,15,No,No,Month-to-month,85.02,1275.3,No
CUST00162,Female,1,No,No,40,No,Fiber optic,Month-to-month,106.17,4246.8,No
CUST00163,Female,0,No,Yes,54,No,DSL,Month-to-month,33.21,1793.3400000000001,Yes
CUST00164,Female,1,Yes,No,60,Yes,DSL,One year,101.38,6082.799999999999,No
CUST00165,Male,1,Yes,No,48,Yes,DSL,One year,101.28,4861.4400000000005,No
CUST00166,Female,0,Yes,Yes,51,Yes,DSL,Two year,78.69,4013.19,No
CUST00167,Male,1,Yes,No,1,Yes,DSL,Month-to-month,96.06,96.06,Yes
CUST00168,Male,0,Yes,Yes,49,No,DSL,Two year,38.19,1871.31,Yes
CUST00169,Female,0,Yes,No,42,Yes,Fiber optic,Two year,36.96,1552.32,No
CUST00170,Female,0,No,No,7,Yes,DSL,One year,106.28,743.96,No
CUST00171,Male,1,No,Yes,58,No,DSL,Month-to-month,69.81,4048.98,No
CUST00172,Male,1,No,No,64,Yes,DSL,Month-to-month,44.59,2853.76,No
CUST00173,Female,0,Yes,Yes,11,Yes,DSL,Two year,88.87,977.57,No
CUST00174,Female,0,Yes,No,3,Yes,Fiber optic,Month-to-month,109.19,327.57,No
CUST00175,Female,0,Yes,Yes,40,Yes,No,One year,83.23,3329.2000000000003,Yes
CUST00176,Male,0,No,No,6,No,No,Two year,54.73,328.38,No
CUST00177,Male,0,Yes,Yes,68,No,No,Two year,68.32,4645.759999999999,Yes
CUST00178,Male,0,Yes,Yes,68,Yes,No,One year,95.23,6475.64,Yes
CUST00179,Male,0,No,No,29,No,DSL,One year,26.75,775.75,Yes
CUST00180,Male,0,Yes,Yes,5,Yes,No,One year,41.72,208.6,No
CUST00181,Male,1,No,No,18,Yes,No,One year,66.26,1192.68,Yes
CUST00182,Female,0,No,No,65,Yes,Fiber optic,One year,80.42,5227.3,Yes
CUST00183,Male,0,Yes,Yes,9,No,Fiber optic,One year,53.92,485.28000000000003,No
CUST00184,Male,0,No,Yes,15,No,Fiber optic,Two year,49.84,747.6,Yes
CUST00185,Male,1,Yes,Yes,36,No,DSL,Month-to-month,24.14,869.04,No
CUST00186,Female,1,No,Yes,31,No,DSL,Month-to-month,23.26,721.0600000000001,No
CUST00187,Male,0,Yes,Yes,46,No,DSL,Two year,47.87,2202.02,No
CUST00188,Male,0,No,No,71,No,Fiber optic,Month-to-month,73.05,5186.55,Yes
CUST00189,Female,0,Yes,Yes,42,Yes,No,Month-to-month,75.64,3176.88,No
CUST00190,Male,0,No,No,35,No,Fiber optic,Two year,69.4,2429.0,No
CUST00191,Male,0,No,Yes,25,Yes,DSL,Month-to-month,60.99,1524.75,No
CUST00192,Male,0,No,Yes,9,Yes,Fiber optic,Month-to-month,45.23,407.07,Yes
CUST00193,Male,0,Yes,Yes,30,No,No,Two year,60.07,1802.1,No
CUST00194,Male,0,Yes,No,28,Yes,DSL,Month-to-month,33.88,948.6400000000001,No
CUST00195,Female,0,No,Yes,4,Yes,No,One year,31.53,126.12,Yes
CUST00196,Female,0,Yes,No,0,Yes,No,Two year,49.99,0.0,No
CUST00197,Female,0,No,No,2,No,DSL,Month-to-month,119.53,239.06,Yes
CUST00198,Male,1,Yes,No,66,No,No,Month-to-month,52.65,3474.9,No
CUST00199,Male,0,No,Yes,70,Yes,Fiber optic,One year,113.65,7955.5,No
CUST00200,Male,1,Yes,No,34,No,No,Two year,59.23,2013.82,Yes
CUST00201,Female,0,No,Yes,14,Yes,No,Two year,63.9,894.6,No
CUST00202,Male,0,No,No,66,No,No,Month-to-month,99.71,6580.86,No
CUST00203,Male,0,No,Yes,29,Yes,Fiber optic,One year,29.36,851.4399999999999,No
CUST00204,Female,0,No,No,42,Yes,No,One year,38.23,1605.6599999999999,No
CUST00205,Male,0,Yes,Yes,59,No,No,One year,117.38,6925.42,No
CUST00206,Female,0,No,Yes,39,No,Fiber optic,One year,70.59,2753.01,No
CUST00207,Female,0,Yes,Yes,64,No,DSL,One year,24.43,1563.52,Yes
CUST00208,Female,0,Yes,No,28,No,DSL,One year,24.74,692.7199999999999,Yes
CUST00209,Male,0,No,No,18,No,DSL,Two year,110.72,,No
CUST00210,Male,0,Yes,Yes,2,Yes,No,Month-to-month,107.34,214.68,No
CUST00211,Male,0,Yes,No,35,Yes,DSL,Month-to-month,65.84,2304.4,Yes
CUST00212,Male,0,Yes,No,42,Yes,Fiber optic,One year,36.32,1525.44,No
CUST00213,Male,0,No,No,14,No,No,Two year,103.03,1442.42,No
CUST00214,Male,0,Yes,No,40,No,No,Two year,52.46,2098.4,No
CUST00215,Male,1,Yes,No,35,Yes,No,One year,61.91,2166.85,Yes
CUST00216,Female,0,No,No,32,Yes,DSL,Month-to-month,88.25,2824.0,No
CUST00217,Male,0,No,No,4,Yes,DSL,One year,55.34,221.36,No
CUST00218,Female,1,Yes,Yes,13,Yes,DSL,Two year,82.87,1077.31,No
CUST00219,Male,0,No,Yes,67,No,No,One year,108.53,7271.51,Yes
CUST00220,Male,0,Yes,No,46,Yes,Fiber optic,Month-to-month,99.74,4588.04,No
CUST00221,Male,0,Yes,Yes,53,No,No,Month-to-month,58.16,3082.48,No
CUST00222,Female,0,Yes,Yes,3,Yes,Fiber optic,Two year,48.79,146.37,No
CUST00223,Female,0,No,Yes,8,No,No,One year,48.55,,Yes
CUST00224,Female,0,Yes,No,52,No,Fiber optic,One year,54.86,2852.72,No
CUST00225,Female,0,No,No,59,No,No,Two year,69.35,4091.6499999999996,Yes
CUST00226,Male,0,No,No,45,No,No,One year,61.66,2774.7,Yes
CUST00227,Female,1,Yes,No,53,Yes,Fiber optic,Two year,33.3,1764.8999999999999,Yes
CUST00228,Male,0,No,No,36,Yes,Fiber optic,One year,36.35,1308.6000000000001,Yes
CUST00229,Male,0,No,Yes,22,Yes,Fiber optic,Month-to-month,54.29,1194.3799999999999,No
CUST00230,Female,0,No,No,26,No,Fiber optic,Two year,76.21,1981.4599999999998,Yes
CUST00231,Female,0,No,Yes,69,Yes,Fiber optic,One year,79.27,5469.63,No
CUST00232,Female,0,No,No,65,Yes,Fiber optic,One year,68.62,4460.3,No
CUST00233,Female,0,Yes,Yes,60,Yes,Fiber optic,One year,93.88,5632.799999999999,No
CUST00234,Female,0,No,No,50,No,Fiber optic,Two year,93.72,4686.0,No
CUST00235,Female,1,Yes,No,49,No,No,Month-to-month,62.76,3075.24,No
CUST00236,Female,0,Yes,No,18,No,Fiber optic,One year,32.44,583.92,No
CUST00237,Female,0,Yes,No,0,Yes,Fiber optic,Two year,73.02,0.0,No
CUST00238,Male,0,Yes,No,39,Yes,No,One year,58.15,2267.85,No
CUST00239,Female,0,Yes,No,31,Yes,No,Month-to-month,33.79,1047.49,No
CUST00240,Female,0,Yes,Yes,21,No,DSL,Month-to-month,118.18,2481.78,No
CUST00241,Male,0,No,No,65,Yes,DSL,Month-to-month,56.98,3703.7,No
CUST00242,Female,0,No,Yes,39,No,Fiber optic,Two year,82.58,3220.62,No
CUST00243,Male,0,No,No,37,No,Fiber optic,One year,69.01,2553.3700000000003,Yes
CUST00244,Male,0,Yes,Yes,47,No,DSL,Two year,34.28,1611.16,Yes
CUST00245,Female,0,No,Yes,54,No,DSL,One year,25.55,1379.7,No
CUST00246,Male,0,No,Yes,54,Yes,Fiber optic,Two year,82.58,4459.32,Yes
CUST00247,Male,0,No,Yes,50,Yes,DSL,One year,44.7,2235.0,No
CUST00248,Male,0,Yes,Yes,59,No,Fiber optic,Two year,44.37,2617.83,Yes
CUST00249,Male,0,No,Yes,7,Yes,No,One year,115.7,809.9,No
CUST00250,Female,0,Yes,No,67,No,No,Two year,66.18,4434.06,No
CUST00251,Male,0,No,Yes,71,Yes,DSL,Month-to-month,22.94,1628.74,Yes
CUST00252,Female,0,Yes,No,8,Yes,No,Two year,53.98,,No
CUST00253,Male,0,Yes,No,1,No,No,Month-to-month,78.45,78.45,No
CUST00254,Male,1,Yes,Yes,69,No,No,Month-to-month,52.86,3647.34,No
CUST00255,Male,0,No,Yes,58,No,No,One year,22.69,1316.02,No
CUST00256,Male,1,No,No,18,No,Fiber optic,Month-to-month,64.43,1159.7400000000002,Yes
CUST00257,Female,0,Yes,Yes,27,Yes,Fiber optic,Month-to-month,30.59,825.93,No
CUST00258,Female,0,No,Yes,71,No,DSL,One year,81.92,5816.32,Yes
CUST00259,Male,0,Yes,Yes,13,Yes,No,Two year,81.96,1065.48,No
CUST00260,Male,0,Yes,Yes,23,No,No,Two year,23.78,546.94,No
CUST00261,Female,0,No,Yes,43,Yes,No,Month-to-month,49.07,2110.01,No
CUST00262,Male,0,No,Yes,55,No,DSL,Two year,61.37,3375.35,No
CUST00263,Male,0,No,Yes,50,Yes,Fiber optic,Month-to-month,75.03,3751.5,No
CUST00264,Male,0,Yes,No,31,Yes,No,Two year,49.61,1537.91,Yes
CUST00265,Female,0,Yes,Yes,49,Yes,Fiber optic,Two year,48.77,,No
CUST00266,Female,0,No,No,40,No,DSL,Two year,118.3,4732.0,No
CUST00267,Female,0,Yes,No,65,No,Fiber optic,Month-to-month,24.19,1572.3500000000001,Yes
CUST00268,Male,0,No,No,24,No,No,One year,118.9,2853.6000000000004,No
CUST00269,Male,0,Yes,No,60,No,Fiber optic,Two year,24.78,,No
CUST00270,Female,0,No,Yes,65,Yes,Fiber optic,Two year,48.83,3173.95,Yes
CUST00271,Female,0,No,No,41,Yes,DSL,Two year,69.37,2844.17,No
CUST00272,Female,1,Yes,No,64,Yes,DSL,Month-to-month,34.33,2197.12,No
CUST00273,Female,1,No,No,35,No,DSL,One year,33.48,1171.8,No
CUST00274,Male,0,No,No,8,Yes,DSL,Month-to-month,45.63,365.04,No
CUST00275,Female,0,Yes,No,35,Yes,Fiber optic,Two year,117.35,,No
CUST00276,Male,0,No,Yes,37,No,Fiber optic,Month-to-month,58.01,2146.37,No
CUST00277,Female,0,Yes,Yes,32,No,DSL,Two year,76.6,2451.2,No
CUST00278,Male,0,No,No,41,Yes,DSL,Two year,90.43,3707.63,No
CUST00279,Female,0,Yes,Yes,60,No,No,Month-to-month,94.22,5653.2,No
CUST00280,Female,0,No,Yes,45,No,No,Two year,88.8,3996.0,Yes
CUST00281,Female,1,No,No,60,No,DSL,Two year,53.69,3221.3999999999996,No
CUST00282,Female,0,No,No,17,No,Fiber optic,One year,31.17,529.89,Yes
CUST00283,Male,0,No,No,69,Yes,DSL,Month-to-month,48.17,3323.73,No
CUST00284,Female,0,Yes,Yes,14,Yes,Fiber optic,Month-to-month,41.03,574.4200000000001,No
CUST00285,Male,1,Yes,No,47,Yes,Fiber optic,Two year,33.63,1580.6100000000001,Yes
CUST00286,Male,0,Yes,Yes,71,Yes,No,Two year,22.45,1593.95,No
CUST00287,Male,0,Yes,Yes,12,Yes,DSL,Month-to-month,113.57,1362.84,No
CUST00288,Male,0,Yes,Yes,42,No,DSL,Month-to-month,112.1,4708.2,Yes
CUST00289,Female,0,Yes,No,59,Yes,Fiber optic,Month-to-month,25.04,1477.36,Yes
CUST00290,Male,0,Yes,Yes,56,Yes,DSL,Two year,37.31,2089.36,No
CUST00291,Male,0,No,No,70,No,No,One year,33.95,2376.5,Yes
CUST00292,Male,0,No,No,16,No,No,One year,48.12,769.92,No
CUST00293,Female,0,No,No,49,No,DSL,Two year,40.41,1980.09,No
CUST00294,Female,0,No,No,31,Yes,DSL,Two year,114.59,3552.29,No
CUST00295,Female,0,Yes,No,21,No,No,Two year,28.42,,Yes
CUST00296,Female,0,Yes,Yes,54,No,DSL,Month-to-month,41.17,,No
CUST00297,Male,0,Yes,Yes,56,No,Fiber optic,Two year,28.07,1571.92,Yes
CUST00298,Male,0,No,Yes,12,Yes,DSL,Month-to-month,118.04,1416.48,No
CUST00299,Female,0,Yes,Yes,46,No,Fiber optic,One year,111.84,5144.64,No
CUST00300,Male,1,No,Yes,61,No,DSL,Two year,91.66,5591.26,No
CUST00301,Male,0,Yes,No,53,Yes,DSL,Two year,62.6,,No
CUST00302,Male,0,Yes,No,28,No,No,Month-to-month,39.02,1092.5600000000002,No
CUST00303,Female,0,Yes,Yes,21,Yes,Fiber optic,Month-to-month,42.15,885.15,No
CUST00304,Female,0,Yes,Yes,64,Yes,No,Month-to-month,64.3,4115.2,Yes
CUST00305,Male,0,No,Yes,28,No,DSL,One year,96.82,2710.96,No
CUST00306,Female,0,No,No,47,Yes,No,One year,46.47,2184.09,Yes
CUST00307,Female,0,Yes,No,4,No,DSL,Two year,51.08,,No
CUST00308,Female,0,No,No,34,No,DSL,Two year,79.99,2719.66,No
CUST00309,Female,0,Yes,Yes,70,No,DSL,Month-to-month,43.77,3063.9,No
CUST00310,Female,0,Yes,Yes,45,No,Fiber optic,One year,78.42,3528.9,No
CUST00311,Male,0,Yes,Yes,34,Yes,Fiber optic,Two year,58.71,1996.14,Yes
CUST00312,Female,0,Yes,Yes,44,No,Fiber optic,Month-to-month,23.44,1031.3600000000001,No
CUST00313,Male,0,No,No,12,No,No,Month-to-month,60.27,723.24,No
CUST00314,Male,0,Yes,Yes,9,No,DSL,One year,111.95,1007.5500000000001,Yes
CUST00315,Female,1,Yes,Yes,65,Yes,No,One year,49.31,3205.15,Yes
CUST00316,Male,0,No,Yes,69,Yes,No,Two year,52.28,3607.32,No
CUST00317,Male,0,Yes,No,71,No,DSL,Two year,26.59,1887.89,No
CUST00318,Male,0,No,No,24,Yes,No,Month-to-month,81.5,1956.0,No
CUST00319,Female,0,Yes,Yes,43,Yes,DSL,Month-to-month,104.92,4511.56,No
CUST00320,Female,0,Yes,No,59,No,DSL,Month-to-month,55.29,3262.11,No
CUST00321,Male,0,Yes,No,46,No,DSL,Two year,44.02,2024.92,No
CUST00322,Female,0,Yes,No,39,No,DSL,One year,115.66,4510.74,No
CUST00323,Female,0,Yes,No,6,No,No,Two year,94.51,567.0600000000001,Yes
